[2024-12-25 15:29:46,802] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2024-12-25 15:29:47,092] h5py._conv - DEBUG - Creating converter from 7 to 5
[2024-12-25 15:29:47,092] h5py._conv - DEBUG - Creating converter from 5 to 7
[2024-12-25 15:29:47,093] h5py._conv - DEBUG - Creating converter from 7 to 5
[2024-12-25 15:29:47,093] h5py._conv - DEBUG - Creating converter from 5 to 7
[2024-12-25 15:29:48,201] matplotlib - DEBUG - matplotlib data path: D:\AI\ML\envs\textClassifier\Lib\site-packages\matplotlib\mpl-data
[2024-12-25 15:29:48,216] matplotlib - DEBUG - CONFIGDIR=C:\Users\ankit\.matplotlib
[2024-12-25 15:29:48,217] matplotlib - DEBUG - interactive is False
[2024-12-25 15:29:48,217] matplotlib - DEBUG - platform is win32
[2024-12-25 15:29:48,343] matplotlib - DEBUG - CACHEDIR=C:\Users\ankit\.matplotlib
[2024-12-25 15:29:48,351] matplotlib.font_manager - DEBUG - Using fontManager instance from C:\Users\ankit\.matplotlib\fontlist-v390.json
[2024-12-25 15:29:48,634] root - INFO - Entered the run_pipeline method of training pipeline
[2024-12-25 15:29:48,634] root - INFO - Entered the start data_ingestion method of Trainingpipeline class
[2024-12-25 15:29:48,634] root - INFO - Getting data
[2024-12-25 15:29:48,634] root - INFO - Entered the initate data_ingestion method class
[2024-12-25 15:29:48,634] root - INFO - Downloading data from https://drive.google.com/file/d/1J8Gd0d4YwOhdkN0SALD1CBRe-argMey_/view?usp=drive_link into file D:\ML_Projects\End_to_end\Text_Classification\artifacts\12_25_2024_15_29_32\DataIngestionArtifacts\dataset.zip
[2024-12-25 15:29:48,634] urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): drive.google.com:443
