[2025-01-14 18:37:28,444] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-01-14 18:37:29,195] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:37:29,195] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:37:29,195] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:37:29,195] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:37:35,097] werkzeug - WARNING -  * Debugger is active!
[2025-01-14 18:37:35,120] werkzeug - INFO -  * Debugger PIN: 829-501-677
[2025-01-14 18:37:35,248] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:37:35] "[35m[1mGET / HTTP/1.1[0m" 500 -
[2025-01-14 18:37:35,471] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:37:35] "[36mGET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[2025-01-14 18:37:35,471] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:37:35] "[36mGET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[2025-01-14 18:37:35,820] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:37:35] "GET /?__debugger__=yes&cmd=resource&f=console.png&s=7GB36I6kYuER8GkXFLv7 HTTP/1.1" 200 -
[2025-01-14 18:37:35,824] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:37:35] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2025-01-14 18:37:36,080] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:37:36] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2025-01-14 18:37:49,022] werkzeug - INFO -  * Detected change in 'D:\\ML_Projects\\End_to_end\\Text_Classification\\main.py', reloading
