[2025-01-14 18:44:53,167] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-01-14 18:44:54,404] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:44:54,404] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:44:54,404] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:44:54,404] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:45:01,700] werkzeug - WARNING -  * Debugger is active!
[2025-01-14 18:45:01,727] werkzeug - INFO -  * Debugger PIN: 829-501-677
[2025-01-14 18:45:14,471] root - INFO - entered into run_pipeline method of prepictionpipeline class
[2025-01-14 18:45:14,471] root - INFO - Running the prediction function
[2025-01-14 18:45:14,535] h5py._conv - DEBUG - Creating converter from 3 to 5
[2025-01-14 18:45:16,108] root - INFO - enterned the concat_data_cleaning function
[2025-01-14 18:45:17,246] root - INFO - existed from run_pipeline of prediction pipeline class
[2025-01-14 18:45:17,266] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:45:17] "POST /predict HTTP/1.1" 200 -
[2025-01-14 18:45:17,355] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:45:17] "[33mGET /home.css HTTP/1.1[0m" 404 -
[2025-01-14 18:45:38,818] werkzeug - INFO -  * Detected change in 'd:\\ml_projects\\end_to_end\\text_classification\\main.py', reloading
