[2025-01-14 18:38:48,985] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-01-14 18:38:49,398] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:38:49,400] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:38:49,400] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:38:49,400] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:38:52,071] werkzeug - WARNING -  * Debugger is active!
[2025-01-14 18:38:52,084] werkzeug - INFO -  * Debugger PIN: 829-501-677
[2025-01-14 18:38:52,142] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:38:52] "GET / HTTP/1.1" 200 -
[2025-01-14 18:38:52,520] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:38:52] "[33mGET /home.css HTTP/1.1[0m" 404 -
[2025-01-14 18:38:52,766] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:38:52] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2025-01-14 18:39:32,751] root - INFO - entered into run_pipeline method of prepictionpipeline class
[2025-01-14 18:39:32,751] root - INFO - Running the prediction function
[2025-01-14 18:39:32,796] h5py._conv - DEBUG - Creating converter from 3 to 5
[2025-01-14 18:39:33,714] root - INFO - enterned the concat_data_cleaning function
[2025-01-14 18:39:35,133] root - INFO - existed from run_pipeline of prediction pipeline class
[2025-01-14 18:39:35,137] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:39:35] "POST /predict HTTP/1.1" 200 -
[2025-01-14 18:39:35,210] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:39:35] "[33mGET /home.css HTTP/1.1[0m" 404 -
[2025-01-14 18:39:49,333] root - INFO - entered into run_pipeline method of prepictionpipeline class
[2025-01-14 18:39:49,333] root - INFO - Running the prediction function
[2025-01-14 18:39:50,400] root - INFO - enterned the concat_data_cleaning function
[2025-01-14 18:39:51,701] root - INFO - existed from run_pipeline of prediction pipeline class
[2025-01-14 18:39:51,701] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:39:51] "POST /predict HTTP/1.1" 200 -
[2025-01-14 18:39:51,745] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:39:51] "[33mGET /home.css HTTP/1.1[0m" 404 -
[2025-01-14 18:41:58,785] werkzeug - INFO -  * Detected change in 'd:\\ml_projects\\end_to_end\\text_classification\\main.py', reloading
