[2025-01-14 18:35:10,446] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-01-14 18:35:11,252] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:35:11,252] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:35:11,252] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:35:11,252] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:35:17,443] werkzeug - WARNING -  * Debugger is active!
[2025-01-14 18:35:17,484] werkzeug - INFO -  * Debugger PIN: 829-501-677
[2025-01-14 18:35:17,632] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:35:17] "[35m[1mGET / HTTP/1.1[0m" 500 -
[2025-01-14 18:35:18,274] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:35:18] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2025-01-14 18:35:18,278] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:35:18] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2025-01-14 18:35:18,397] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:35:18] "GET /?__debugger__=yes&cmd=resource&f=console.png&s=I4JxLARuuag6prJpybAi HTTP/1.1" 200 -
[2025-01-14 18:35:18,739] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:35:18] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2025-01-14 18:35:18,982] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:35:18] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2025-01-14 18:36:24,055] werkzeug - INFO -  * Detected change in 'd:\\ml_projects\\end_to_end\\text_classification\\main.py', reloading
